tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,tweet_length,clean_text
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative emotion,23,g iphone hr tweeting riseaustin dead need upgrade plugin station sxsw
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,22,know awesome ipadiphone app youll likely appreciate design also theyre giving free t sxsw
@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive emotion,15,wait ipad also sale sxsw
@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative emotion,15,hope year festival isnt crashy year iphone app sxsw
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive emotion,17,great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress
@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,,No emotion toward brand or product,18,new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,28,sxsw starting ctia around corner googleio hop skip jump good time android fan
Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive emotion,17,beautifully smart simple idea rt wrote hollergram ipad app sxsw
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive emotion,16,counting day sxsw plus strong canadian dollar mean stock apple gear
Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,Positive emotion,21,excited meet sxsw show sprint galaxy still running android fail
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive emotion,19,find amp start impromptu party sxsw cant wait til android app come
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive emotion,22,foursquare ups game time sxsw still prefer far best looking android app date
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,19,gotta love sxsw google calendar featuring top party show case check rt via gt
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,7,great sxsw ipad app
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,10,haha awesomely rad ipad app hollergram sxsw
Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,14,holler gram ipad itunes app store via sxsw
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,iPhone,Negative emotion,24,noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",iPad or iPhone App,Positive emotion,19,added sxsw flight matching people planesairports also downloaded iphone app nicely done
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive emotion,19,must sxsw app rt lovely review forbes sxsw ipad app holler gram
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive emotion,24,need buy ipad im austin sxsw sure ill need q austin apple store
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive emotion,23,oh god sxsw app ipad pure unadulterated awesome easier browse event ipad website
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive emotion,13,okay really yay new android app kthxbai sxsw
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive emotion,12,photo installed sxsw iphone app really nice
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive emotion,24,really enjoying change gowalla android looking forward seeing else amp foursquare sleeve sxsw
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive emotion,24,rt im looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive emotion,13,rt haha awesomely rad ipad app hollergram sxsw via
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive emotion,12,someone started austin group google group presxsw great idea
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive emotion,21,new sq look like going rock update iphone android push tonight sxsw keepaustinweird
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,18,right app android sweeeeet nice job team sxsw
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive emotion,17,smart hollergram ipad app sxsw may leave vuvuzela home
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive emotion,16,must app ipad going sxsw hollergram
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",,No emotion toward brand or product,15,attn sxsw frineds register gdgtlive see cobra iradar android link
Anyone at  #sxsw want to sell their old iPad?,,No emotion toward brand or product,9,anyone sxsw want sell old ipad
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,No emotion toward brand or product,16,anyone sxsw bought new ipad want sell older ipad
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",,No emotion toward brand or product,17,sxsw oooh rt google launch major new social network called circle possibly today link
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive emotion,22,best rt ha first line ipad sxsw quotpopupquot apple store event planner eventprofs pcma engage
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,No emotion toward brand or product,20,spin play new concept music discovery ipad amp spincom link itunes sxsw
@mention  - False Alarm: Google Circles Not Coming Now���and Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative emotion,18,false alarm google circle coming nowand probably ever link google circle social sxsw
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,No emotion toward brand or product,12,vatornews google apple force print medium evolve link sxsw
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive emotion,23,great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you�۪re getting friend... {link}",,No emotion toward brand or product,18,hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether youre getting friend link
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and we�۪ll make you one!,,No emotion toward brand or product,25,hey sxsw long think take u make iphone case answer using zazzlesxsw well make one
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},,No emotion toward brand or product,13,mashable ipad take sxsw video ipad sxsw gadget link
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},,No emotion toward brand or product,21,ipad rt new ubersocial iphone app store includes uberguide sxsw sponsored link
Hand-Held ���Hobo�۪: Drafthouse launches ���Hobo With a Shotgun�۪ iPhone app #SXSW {link},,Positive emotion,12,handheld hobo drafthouse launch hobo shotgun iphone app sxsw link
HOORAY RT ���@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive emotion,16,hooray rt apple opening popup store austin sxsw link
Orly....? ���@mention Google set to launch new social network #Circles today at #sxsw�۝,,No emotion toward brand or product,13,orly google set launch new social network circle today sxsw
wooooo!!! ���@mention Apple store downtown Austin open til Midnight. #sxsw�۝,Apple,Positive emotion,10,wooooo apple store downtown austin open til midnight sxsw
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,No emotion toward brand or product,19,khoi vinh say conde nast headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw
"���@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",,No emotion toward brand or product,21,link lt help forward doc anonymous account techiesamp ppl help u jam libya sxsw
