tweet_text,cleaned_text,brand,sentiment,brand_sentiment,text_length
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iphone hr tweeting riseaustin dead need upgrade plugin station sxsw,Apple,Negative,Apple_Negative,67
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",know awesome ipadiphone app youll likely appreciate design also theyre giving free sxsw,Apple,Positive,Apple_Positive,87
@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,wait ipad also sale sxsw,Apple,Positive,Apple_Positive,24
@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,hope year festival isnt crashy year iphone app sxsw,Apple,Negative,Apple_Negative,51
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",great stuff fri sxsw marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,Google,Positive,Google_Positive,104
@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd,Other,Neutral,Other_Neutral,83
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",sxsw starting ctia around corner googleio hop skip jump good time android fan,Google,Positive,Google_Positive,77
Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,beautifully smart simple idea wrote hollergram ipad app sxsw,Apple,Positive,Apple_Positive,60
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,counting day sxsw plus strong canadian dollar mean stock apple gear,Apple,Positive,Apple_Positive,67
Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,excited meet sxsw show sprint galaxy still running android fail,Google,Positive,Google_Positive,63
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,find amp start impromptu party sxsw cant wait til android app come,Google,Positive,Google_Positive,66
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",foursquare ups game time sxsw still prefer far best looking android app date,Google,Positive,Google_Positive,76
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,got love sxsw google calendar featuring top party show case check via,Google,Positive,Google_Positive,69
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,great sxsw ipad app,Apple,Positive,Apple_Positive,19
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",haha awesomely rad ipad app hollergram sxsw,Apple,Positive,Apple_Positive,43
Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,holler gram ipad itunes app store via sxsw,Other,Neutral,Other_Neutral,42
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,noticed dst coming weekend many iphone user hour late sxsw come sunday morning sxsw iphone,Apple,Negative,Apple_Negative,90
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",added sxsw flight matching people planesairports also downloaded iphone app nicely done,Apple,Positive,Apple_Positive,87
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,must sxsw app lovely review forbes sxsw ipad app holler gram,Apple,Positive,Apple_Positive,60
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,need buy ipad austin sxsw sure ill need austin apple store,Apple,Positive,Apple_Positive,58
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",god sxsw app ipad pure unadulterated awesome easier browse event ipad website,Apple,Positive,Apple_Positive,77
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",okay really yay new android app kthxbai sxsw,Google,Positive,Google_Positive,44
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",photo installed sxsw iphone app really nice,Apple,Positive,Apple_Positive,43
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,really enjoying change gowalla android looking forward seeing else amp foursquare sleeve sxsw,Google,Positive,Google_Positive,93
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",looking forward smcdallas pre sxsw party wed hoping ill win ipad resulting shameless promotion chevysmc,Apple,Positive,Apple_Positive,103
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",haha awesomely rad ipad app hollergram sxsw via,Apple,Positive,Apple_Positive,47
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",someone started austin group google group presxsw great idea,Google,Positive,Google_Positive,60
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,new look like going rock update iphone android push tonight sxsw keepaustinweird,Apple,Positive,Apple_Positive,80
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",right app android sweeeeet nice job team sxsw,Google,Positive,Google_Positive,45
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),smart hollergram ipad app sxsw may leave vuvuzela home,Apple,Positive,Apple_Positive,54
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,must app ipad going sxsw hollergram,Apple,Positive,Apple_Positive,35
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",attn sxsw frineds register gdgtlive see cobra iradar android link,Other,Neutral,Other_Neutral,65
Anyone at  #sxsw want to sell their old iPad?,anyone sxsw want sell old ipad,Other,Neutral,Other_Neutral,30
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,anyone sxsw bought new ipad want sell older ipad,Other,Neutral,Other_Neutral,48
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",sxsw oooh google launch major new social network called circle possibly today link,Other,Neutral,Other_Neutral,82
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,best first line ipad sxsw quotpopupquot apple store event planner eventprofs pcma engage,Apple,Positive,Apple_Positive,88
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,spin play new concept music discovery ipad amp spincom link itunes sxsw,Other,Neutral,Other_Neutral,71
@mention  - False Alarm: Google Circles Not Coming Now���and Probably Not Ever? - {link} #Google #Circles #Social #SXSW,false alarm google circle coming nowand probably ever link google circle social sxsw,Google,Negative,Google_Negative,84
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,vatornews google apple force print medium evolve link sxsw,Other,Neutral,Other_Neutral,58
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,great weather greet sxsw still need sweater nightapple putting quotflash storequot downtown sell ipad,Apple,Positive,Apple_Positive,101
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether you�۪re getting friend... {link}",hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether you۪re getting friend link,Other,Neutral,Other_Neutral,103
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and we�۪ll make you one!,hey sxsw long think take make iphone case answer using zazzlesxsw we۪ll make one,Other,Neutral,Other_Neutral,80
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},mashable ipad take sxsw video ipad sxsw gadget link,Other,Neutral,Other_Neutral,51
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},ipad new ubersocial iphone app store includes uberguide sxsw sponsored link,Other,Neutral,Other_Neutral,75
Hand-Held ���Hobo�۪: Drafthouse launches ���Hobo With a Shotgun�۪ iPhone app #SXSW {link},handheld hobo۪ drafthouse launch hobo shotgun۪ iphone app sxsw link,Other,Positive,Other_Positive,67
HOORAY RT ���@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},hooray apple opening popup store austin sxsw link,Apple,Positive,Apple_Positive,49
Orly....? ���@mention Google set to launch new social network #Circles today at #sxsw�۝,orly google set launch new social network circle today sxsw۝,Other,Neutral,Other_Neutral,60
wooooo!!! ���@mention Apple store downtown Austin open til Midnight. #sxsw�۝,wooooo apple store downtown austin open til midnight sxsw۝,Apple,Positive,Apple_Positive,58
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,khoi vinh say conde nast headlong rush ipad publishing quotfundamental misunderstandingquot platform sxsw,Other,Neutral,Other_Neutral,105
"���@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",link help forward doc anonymous account techiesamp ppl help jam libya sxsw,Other,Neutral,Other_Neutral,74
��� WHAT? ��_ {link} ��_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,link edchat musedchat sxsw sxswi classical newtwitter,Other,Neutral,Other_Neutral,53
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",locationbased fast fun future link via sxsw,Other,Neutral,Other_Neutral,43
���@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw�۝ @mention,google connect digital amp physical world mobile link sxsw۝,Other,Neutral,Other_Neutral,59
���@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxsw�۝,talking link google effort allow user open system bettercloud sxsw۝,Google,Positive,Google_Positive,67
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",link quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw,Other,Neutral,Other_Neutral,80
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,link stop sxsw chaos amp hunt austin java get spy game chance win ipad,Apple,Positive,Apple_Positive,70
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},link sxsw check holler gram ipad app link,Other,Neutral,Other_Neutral,41
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},amp fun google pic sxsw link,Other,Neutral,Other_Neutral,28
&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,quotvia link guy kawasaki talk enchanted sxsw know stuff book internet apple sxsw quot,Other,Neutral,Other_Neutral,86
"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",futuremf link spec recipe web google search link sxsw,Other,Neutral,Other_Neutral,53
"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",smile think apple quotpopup storequot austin would lot interesting actually know popped sxsw,Apple,Neutral,Apple_Neutral,92
Again? RT @mention Line at the Apple store is insane.. #sxsw,line apple store insane sxsw,Other,Negative,Other_Negative,28
Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,agree wait fiona apple town somebody kidnap put recording studio record new album sxsw,Other,Neutral,Other_Neutral,86
At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,sxsw wan buy drink fado link join,Other,Neutral,Other_Neutral,33
attending @mention iPad design headaches #sxsw {link},attending ipad design headache sxsw link,Apple,Negative,Apple_Negative,40
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",boooo flipboard developing iphone version android say sxsw,Other,Negative,Other_Negative,58
Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},check amp line ipad austin power sxswi sxsw link,Apple,Positive,Apple_Positive,48
Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,check giving added value location based service need battle checkin fatigue google pnid sxsw,Other,Neutral,Other_Neutral,92
Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,chilcott sxsw stand talking blogger staff late win competition best tweet mentioning tshirt,Other,Neutral,Other_Neutral,91
"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",come party google tonight sxsw link band food art ice cream nifty interactive map,Google,Positive,Google_Positive,81
Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},gowallas promise launch foursquare checkin groupon rewardstype service sxsw finger crossed link,Other,Neutral,Other_Neutral,95
"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",haha sxsw news yahoocom loosing search traffic new site googlecom doubt last tho weird name,Other,Neutral,Other_Neutral,91
Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,holla google party best ever get butt sxsw,Google,Positive,Google_Positive,42
I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,love iphone case sxsw cant get phone fail,Apple,Positive,Apple_Positive,41
I worship @mention {link} #SXSW,worship link sxsw,Other,Neutral,Other_Neutral,17
"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",ipad droid amp mac agnerd confession using laptop ipad amp blackberry follow sxsw,Other,Neutral,Other_Neutral,81
"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",launching sxsw denies social network called circle debut today despite report link,Other,Neutral,Other_Neutral,82
New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,new post iphone app make easy connect social network people meet link sxsw,Apple,Positive,Apple_Positive,74
Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,nice iphone app behaving today crash yesterday ridiculous sxsw,Apple,Positive,Apple_Positive,62
Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,nice apple opening popup store ipad launch downtown austin sxsw link via,Other,Neutral,Other_Neutral,72
"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",nice hey apple fan get peek space thats slated popup sxsw apple store tomorrow link,Apple,Positive,Apple_Positive,83
"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",one thing great get great earth face google company love sxsw sxwsi,Google,Positive,Google_Positive,67
Stay tune @mention showcase #H4ckers {link} #SXSW,stay tune showcase hckers link sxsw,Other,Neutral,Other_Neutral,35
Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},thank touchingstories preso sxsw here deck link,Other,Neutral,Other_Neutral,47
Thank you @mention for an awesome #sxsw party! {link},thank awesome sxsw party link,Other,Neutral,Other_Neutral,29
"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",thanks youre trying contact friend family japan created person finder link sxsw,Other,Neutral,Other_Neutral,79
Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,thanks mention new speech ipad apps showcased sxsw conf link sxswh sxsh,Apple,Positive,Apple_Positive,71
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,thanks publishing news new medical apps sxswi conf blog link sxsw sxswh,Other,Neutral,Other_Neutral,71
Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,thanks publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth,Other,Neutral,Other_Neutral,79
What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,sxsw provide iphone charger ive changed mind going next year,Apple,Negative,Apple_Negative,60
Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,wonder amp apple flashmob tcrnchfcsj sxsw ipad,Other,Neutral,Other_Neutral,46
